"V1"	"V2"	"V3"	"V4"
"Poa_tri"	"Fes_rub"	"Car_hir"	"3.76862401402279"
"Poa_tri"	"Fes_rub"	"Bra_pin"	"0.876424189307625"
"Poa_tri"	"Fes_rub"	"Pha_aru"	"1.48992112182296"
"Poa_tri"	"Fes_pra"	"Tri_fla"	"17.9666958808063"
"Poa_tri"	"Fes_pra"	"Ely_rep"	"16.3014899211218"
"Poa_tri"	"Fes_pra"	"Tri_pra"	"23.3128834355828"
"Poa_tri"	"Fes_pra"	"Ran_rep"	"18.6678352322524"
"Poa_tri"	"Fes_pra"	"Bro_ere"	"2.19106047326906"
"Poa_tri"	"Fes_pra"	"Ran_acr"	"16.8273444347064"
"Poa_tri"	"Fes_pra"	"Bro_hor"	"14.2857142857143"
"Poa_tri"	"Fes_pra"	"Pla_lan"	"21.9106047326906"
"Poa_tri"	"Fes_pra"	"Ant_syl"	"16.8273444347064"
"Poa_tri"	"Fes_pra"	"Her_sph"	"17.0902716914987"
"Poa_tri"	"Fes_pra"	"Gal_mol"	"19.7195442594216"
"Poa_tri"	"Fes_pra"	"Hol_lan"	"11.2182296231376"
"Poa_tri"	"Fes_pra"	"Hel_pub"	"6.74846625766871"
"Poa_tri"	"Fes_pra"	"Car_hir"	"6.13496932515337"
"Poa_tri"	"Fes_pra"	"Bra_pin"	"1.05170902716915"
"Poa_tri"	"Fes_pra"	"Pha_aru"	"1.92813321647677"
"Poa_tri"	"Tri_fla"	"Ely_rep"	"5.25854513584575"
"Poa_tri"	"Tri_fla"	"Tri_pra"	"23.4881682734443"
"Poa_tri"	"Tri_fla"	"Ran_rep"	"6.74846625766871"
"Poa_tri"	"Tri_fla"	"Bro_ere"	"2.01577563540754"
"Poa_tri"	"Tri_fla"	"Ran_acr"	"21.4723926380368"
"Poa_tri"	"Tri_fla"	"Bro_hor"	"12.3575810692375"
"Poa_tri"	"Tri_fla"	"Pla_lan"	"21.5600350569676"
"Poa_tri"	"Tri_fla"	"Ant_syl"	"18.9307624890447"
"Poa_tri"	"Tri_fla"	"Her_sph"	"16.5644171779141"
"Poa_tri"	"Tri_fla"	"Gal_mol"	"21.7353198948291"
"Poa_tri"	"Tri_fla"	"Hol_lan"	"5.08326029798422"
"Poa_tri"	"Tri_fla"	"Hel_pub"	"8.50131463628396"
"Poa_tri"	"Tri_fla"	"Bra_pin"	"0.964066608238387"
"Poa_tri"	"Ely_rep"	"Tri_pra"	"15.3374233128834"
"Poa_tri"	"Ely_rep"	"Ran_rep"	"18.9307624890447"
"Poa_tri"	"Ely_rep"	"Bro_ere"	"0.788781770376862"
"Poa_tri"	"Ely_rep"	"Ran_acr"	"5.6091148115688"
"Poa_tri"	"Ely_rep"	"Bro_hor"	"14.022787028922"
"Poa_tri"	"Ely_rep"	"Pla_lan"	"18.9307624890447"
