"combos","SND","SFD","feasibility","LUI"
"Fes_rub.Pla_lan",1.22391737337021,21.0765932081298,1,0.75
"Fes_rub.Ach_mil",0.864555701292189,34.035415075817,1,0.75
"Fes_rub.Ant_syl",0.923264623784623,30.2714820016328,1,0.75
"Fes_rub.Her_sph",0.870027964632297,8.53282129553689,1,0.75
"Fes_rub.Hel_pub",1.25983287391785,26.3765785968521,1,0.75
"Fes_rub.Bra_pin",0.898454027843818,33.9605599960493,1,0.75
"Tri_pra.Ran_rep",0.957424100108071,39.0608952319709,1,0.75
"Tri_pra.Bro_ere",0.944022675170022,8.68615954940167,1,0.75
"Tri_pra.Ran_acr",1.0768792732541,34.1726890848681,1,0.75
"Tri_pra.Bro_hor",1.01596709629423,39.7418130641029,1,0.75
"Tri_pra.Pla_lan",1.05899862371822,26.3470535321272,1,0.75
"Tri_pra.Ach_mil",0.995775780787632,45.6300770843601,0,0.75
"Tri_pra.Ant_syl",0.95862613502694,23.875742866431,1,0.75
"Tri_pra.Her_sph",0.910509752180974,36.1369285761087,1,0.75
"Tri_pra.Hel_pub",0.909469224544847,3.09133428609155,1,0.75
"Tri_pra.Bra_pin",0.886871292261698,9.15041138808894,1,0.75
"Ran_rep.Bro_ere",0.949656515348654,39.4767712642555,1,0.75
"Ran_rep.Ran_acr",0.928787214193544,29.3583825283523,1,0.75
"Ran_rep.Bro_hor",1.05709957712667,3.91914560522783,1,0.75
"Ran_rep.Pla_lan",0.931736337886464,34.062539733947,1,0.75
"Ran_rep.Ach_mil",0.960225949202389,35.1720748018197,1,0.75
"Ran_rep.Ant_syl",0.923307033223682,32.4611330932963,1,0.75
"Ran_rep.Her_sph",1.0757659842938,1.37244846301364,1,0.75
"Ran_rep.Hel_pub",0.903046430077649,40.1726672712866,1,0.75
"Ran_rep.Bra_pin",0.943651200870502,37.2457005929584,1,0.75
"Bro_ere.Ran_acr",0.931849792822283,31.4999331451186,1,0.75
"Bro_ere.Bro_hor",0.950648668263889,40.1101985893494,1,0.75
"Bro_ere.Pla_lan",1.01233812279779,31.2734450874696,1,0.75
"Bro_ere.Ach_mil",0.898001973397537,39.8218798436581,1,0.75
"Bro_ere.Ant_syl",0.908595951192069,27.3861713799705,1,0.75
"Bro_ere.Her_sph",0.836261604403041,33.8727808862733,1,0.75
"Bro_ere.Hel_pub",0.596936064141379,5.98191496108299,1,0.75
"Bro_ere.Bra_pin",1.33983524497799,36.1664692067234,1,0.75
"Ran_acr.Bro_hor",1.05154098194011,29.2526293212125,1,0.75
"Ran_acr.Pla_lan",0.993286642353915,3.04469577031768,1,0.75
"Ran_acr.Ach_mil",1.10234261311806,47.4988884328094,1,0.75
"Ran_acr.Ant_syl",1.02263573776316,1.10733356614942,1,0.75
"Ran_acr.Her_sph",0.985486794746385,28.2052958739704,1,0.75
"Ran_acr.Hel_pub",1.05101498656245,24.6181744073184,1,0.75
"Ran_acr.Bra_pin",0.967419726607296,22.158889696952,1,0.75
"Bro_hor.Pla_lan",1.00217544694387,32.3343192496932,1,0.75
"Bro_hor.Ach_mil",1.03899680422703,36.4611794364374,1,0.75
"Bro_hor.Ant_syl",0.968646845588194,36.0166617301532,1,0.75
"Bro_hor.Her_sph",1.22670446376824,0.149071770002078,1,0.75
"Bro_hor.Hel_pub",0.906736228809364,40.6185393484989,1,0.75
"Bro_hor.Bra_pin",0.968576743791758,38.7607251456897,1,0.75
"Pla_lan.Ach_mil",0.982310042577758,40.8680581810883,1,0.75
"Pla_lan.Ant_syl",0.96972198177843,0.134924351729599,1,0.75
"Pla_lan.Her_sph",0.951139967958922,28.0379579706512,1,0.75
"Pla_lan.Hel_pub",0.979559192187935,27.2157711743313,1,0.75
"Pla_lan.Bra_pin",0.828955558909123,13.567356897407,1,0.75
"Ach_mil.Ant_syl",0.968518438519114,40.6046765827373,1,0.75
"Ach_mil.Her_sph",0.983409881350829,37.0362761485228,1,0.75
"Ach_mil.Hel_pub",0.925860673877694,38.9915606079791,1,0.75
"Ach_mil.Bra_pin",0.946903399247801,44.4047560671339,0,0.75
"Ant_syl.Her_sph",1.11588623498054,34.826546123885,1,0.75
"Ant_syl.Hel_pub",0.868789880224215,28.4385797829347,1,0.75
"Ant_syl.Bra_pin",0.944879261037824,16.4270074626029,1,0.75
