"","Poa_tri","Poa_pra","Alo_pra","Dac_glo","Tri_rep","Tar_off","Lol_per","Arr_ela","Fes_rub","Fes_pra","Tri_fla","Ely_rep","Tri_pra","Ran_rep","Bro_ere","Ran_acr","Bro_hor","Pla_lan","Ach_mil","Ant_syl","Her_sph","Gal_mol","Hol_lan","Hel_pub","Car_hir","Bra_pin"
"Tri_fla",0.0226996682574399,0.024606739161313,0.0186460399976007,0.0249044171223308,0.0218999763480173,0.0259859299862721,0.0234097566667276,0.0253601799589976,0.0373430155978745,0.032061979571326,0.0410544398357443,0.0331509443995493,0.0667386929406038,0.0493641734354637,0.0582537147551971,0.0479762790712095,0.0852077428204737,0.0985335355011344,0.0676181005645028,0.0815705443634143,0.0882549200932434,0.0788759666036194,0.0635657337613164,0.0773102844949787,0.0754559404268297,0.108288171190645
"Ely_rep",0.0271230446936034,0.0285744418982046,0.0224014368728574,0.0290564414991326,0.025891649266875,0.0313062514333456,0.0275706176963218,0.0297037369254109,0.0445034464321565,0.0379118742774574,0.0475841395441632,0.0394519476410764,0.0781380004074574,0.0569422971288937,0.0699828709778978,0.056847705037277,0.0991917547517513,0.117646111959373,0.079463694446113,0.0990908485946326,0.106891123467309,0.0946249723374974,0.0761476931091138,0.0913953541108253,0.0875144679380687,0.128488593089325
"Tri_pra",0.0219678389946677,0.0236405012027504,0.0184986493191043,0.0237887891549081,0.0210055225183421,0.0257730416953174,0.0226273243417139,0.0244487281064651,0.0369532849210713,0.0313085235148415,0.0390668078873803,0.0312091445408544,0.0625177833849897,0.0488217108746103,0.056317539934773,0.0456006108312921,0.0805163299368964,0.0942913566263169,0.0647094372555439,0.0821271728961195,0.0865145707413526,0.0767883527141781,0.0605349451044037,0.0785658518402189,0.0713508144217404,0.104380506343919
"Ran_rep",0.0271688305829673,0.0290689587039622,0.0237251090875229,0.0289183551825351,0.0254982912343272,0.0327894500070156,0.0278947743193758,0.029997412293684,0.0472455778203085,0.0387797770550079,0.0474751191821628,0.0362439879803224,0.0721410026744903,0.0621176832931143,0.0685548294201499,0.0545729709207896,0.0950911569265803,0.111295932038899,0.0756729454821324,0.105830966454276,0.106025586548787,0.0946093701795728,0.0719163510749068,0.106345148898486,0.0846363735119009,0.124144188495195
"Bro_ere",0.0186305900336813,0.0198187869412635,0.0151653322255528,0.0201731118334942,0.017884723045737,0.0211963741094811,0.0190060800919735,0.0205279882850087,0.0302094610199554,0.0259807219317887,0.033233183557172,0.0275629626111798,0.0548113358772932,0.0388300483980938,0.0480221028258406,0.0393997232494611,0.0693787806155402,0.0813184693741488,0.0550648523869033,0.0664031723456527,0.0727694173329184,0.0646310780143833,0.0526412040918896,0.0612518948339161,0.0611219823481076,0.088390064073059
"Ran_acr",0.0223940365952256,0.0237392389987541,0.0192691927246682,0.0238157940775436,0.0211712299526567,0.0267160756394358,0.0228700983744306,0.0245870235540033,0.0384136204337819,0.0317193092892178,0.0389859724110788,0.0306367676828082,0.061024865095034,0.0498804376708334,0.0574474505413039,0.0458973237210866,0.0792413862116726,0.0941374435671071,0.0635102291910215,0.0864761368881257,0.0886940024216336,0.0788933392928317,0.0609612858524647,0.0839640978380468,0.070755358501869,0.104195487205335
"Bro_hor",0.0137691223073776,0.0150446558360962,0.0117825641378386,0.0149797175794389,0.0130954355135462,0.0164597815699986,0.0143081577273389,0.0154890450426341,0.0237141478956573,0.0200047504988251,0.0247068463548348,0.019040512663952,0.038396138072329,0.0320007932568927,0.0349035437544005,0.0280827256829906,0.0502696536254865,0.0580997706114739,0.040327157465523,0.052845733894997,0.0539251763921469,0.04809535671495,0.0370584355288693,0.0523731523495688,0.0445069302203394,0.0649673478536948
"Pla_lan",0.0125524553448998,0.0135908077823445,0.0106789869786647,0.0136024042793031,0.0119649991701252,0.0148893394992259,0.0129775231506462,0.0140306299061292,0.0214042419291315,0.0180537322224756,0.0223764504441634,0.0175514978953364,0.0352580169831877,0.0285423832351653,0.0320342571637932,0.0258185954458805,0.0457926574564677,0.0534032692463756,0.0368047100909911,0.0477128743086704,0.0494064319376379,0.0439196101340882,0.0341821491842555,0.0464456091244405,0.0406016021158803,0.0594194333755595
"Ach_mil",0.0158307317402704,0.0171378023612417,0.0130284635660741,0.0173408335863076,0.0152597064430878,0.0181583328509782,0.0163192244788125,0.0176729823602822,0.0260761404731385,0.0223710023889816,0.0285728732989016,0.0230869693363434,0.0464297170643913,0.0344416282683971,0.0406290721039729,0.0334012774036851,0.0592966249373578,0.0686874879669305,0.0471352959716419,0.0570611672327416,0.0616434000321365,0.0550242612281363,0.0442826169863687,0.0540459018435445,0.0524892777496586,0.0755187137067289
"Ant_syl",0.0116505802246134,0.0124790562806785,0.00937937275159507,0.0127180454469397,0.0112332333968455,0.0130992224626399,0.0119097850145008,0.0128834359121363,0.0187336509187029,0.0161800969005181,0.0210459256885754,0.0174006375124126,0.0347528764684637,0.0241146018424059,0.0300382223046685,0.0248762587406634,0.0439045053077102,0.0510116639904502,0.0344843303637402,0.0407630618737986,0.0451524950274946,0.0403199473885064,0.0331282017346883,0.0376752399407016,0.0387429741854189,0.0551852003600283
"Her_sph",0.0106319261323699,0.0117125136543795,0.00880677292649927,0.0117787520208897,0.0102709491002075,0.0123020347151645,0.0110649175621878,0.0120199531090036,0.0177834603474389,0.015256347417212,0.0194190446807886,0.0152752358574616,0.0310858885029444,0.0241194505324654,0.0271151529913453,0.0223442712392296,0.0401138344512372,0.0457912419724852,0.0318048360707445,0.0388206002941106,0.0411354459321779,0.0370594575834648,0.0294283381027987,0.0377784824341316,0.0356027887324152,0.0508471797428435
"Gal_mol",0.01211665169988,0.0130345467019761,0.010151281344481,0.0131389001070116,0.0116039032016542,0.0141449296712225,0.0124735828143698,0.013480554463253,0.0202696809554716,0.017224426047768,0.0215806263966288,0.017333250829202,0.0347143578999109,0.026734777644015,0.0310866741143779,0.0252396692334207,0.0445870202329026,0.0521754149585475,0.0357922831894294,0.0449337235513191,0.0476501379710589,0.0423013599960367,0.0335226492579941,0.0427753819007261,0.03948476071808,0.0576548528815057
"Hol_lan",0.0138433695802778,0.0151561804376593,0.0116921862304832,0.0151620574110381,0.0132568745816526,0.0163413950596949,0.0143934326508307,0.0156014613659523,0.0235391822311929,0.0200221710523071,0.0249865293055781,0.0195122240912686,0.0394429297439099,0.0318211367651002,0.0352334607805469,0.028582616404568,0.0512677999301525,0.0591097324452372,0.0410869946601033,0.0521173265800278,0.0541303710827932,0.048342003158712,0.0377479949501312,0.0509932861127844,0.0453838973603529,0.0659175106663797
"Hel_pub",0.0166970377000308,0.0181561236305344,0.0139793051874789,0.0182553040530914,0.0160295015119163,0.0195030482462767,0.0172855019619693,0.0187214493111012,0.028038787967519,0.0239047980391501,0.0300458487680125,0.0238546227834883,0.048063330037748,0.0374950913455951,0.0426901006017243,0.0347696152056177,0.061981199945397,0.0718140275338782,0.0496318033646279,0.0618881776816613,0.065342348685721,0.0582398037251959,0.0460265378096558,0.059600696685188,0.0548816822721385,0.0796542538155229
"Car_hir",0.012317348035289,0.0135298202502677,0.0103057539352318,0.013570489072404,0.0118479784096013,0.0144042746398329,0.0128173787314996,0.0139088049499263,0.0207755128448211,0.0177598035839917,0.0223661527592063,0.0175430146703851,0.0355711295185997,0.0281542332931643,0.0313801834185019,0.025640189765765,0.046070679416389,0.0528597550225095,0.0367704570864355,0.0456968123820293,0.0479416182313067,0.0429676293821153,0.033829611364182,0.0445529024527642,0.0408042516465745,0.058847871096548
"Bra_pin",0.0104161470311946,0.0116141132104208,0.00870842305360413,0.0116013079436402,0.0100402077832661,0.0122173023477244,0.010921518400828,0.0118802307294667,0.0177109193008431,0.0151901706320657,0.0191396427673108,0.0147130504694664,0.030150918341283,0.0244926670181401,0.0263782948511445,0.0216660974623955,0.0393374811484044,0.0444525805322893,0.031190314885128,0.0387939809383232,0.0401517108169577,0.0364022890516966,0.0284335117695329,0.038651174843028,0.0348838674105351,0.0497652505670482
