"Poa_tri"	"Poa_pra"	"Alo_pra"	"Dac_glo"	"Tri_rep"	"Tar_sp"	"Lol_per"	"Arr_ela"	"Fes_rub"	"Fes_pra"	"Tri_fla"	"Ely_rep"	"Tri_pra"	"Ran_rep"	"Bro_ere"	"Ran_acr"	"Bro_hor"	"Pla_lan"	"Ach_mil"	"Ant_syl"	"Her_sph"	"Gal_mol"	"Hol_lan"	"Hel_pub"	"Car_hir"	"Bra_pin"
"Tri_fla"	0.0245732291854979	0.0657401947530442	-0.0395274546826209	-0.23918909896006	0.0300932913125293	0.0104162764487156	-0.000583717121598309	-0.0347884906246356	0.0713102599973713	0.0485614508823234	-0.552055069307724	0.0169313057445975	-0.0448695263462377	-0.0633701922194036	0.00576342936762604	-0.0149847459351091	0.143489160839984	0.274100999255627	0.272213058715527	0.119425935034896	0.0356732450795336	0.00497354745203655	0.0288175987453961	-0.0524136853188499	-0.0187410928511962	0.152190953090548
"Ely_rep"	0.151087136227466	-0.0751238128886395	-0.0499058122503163	-0.0544487519688066	0.0240652781223713	-0.0367034851336533	-0.00623369067470193	-0.0309304507601617	0.0636681356187558	0.0226204833263208	-0.0954235974837317	0.340227744129638	-0.0654155485253304	0.0731863790704288	-0.0160016871655441	-0.0353678115656313	0.142562529201745	-0.11682207427319	-0.118864402023376	0.344483648777084	-0.186190259156833	-0.107538758514344	-0.113659778318476	-0.0729104505468742	0.272521137873081	-0.0519227018823629
"Tri_pra"	-0.112357329157785	0.00119919147966927	-0.0332356925145996	0.0206265567629637	-0.0391193394345692	0.079246684676427	0.014338058200798	0.0442813950806671	-0.0575525655194601	0.0177977002017915	0.126322653477551	-0.0744128278708747	-1.02023207668923	-0.0267293645441753	-0.0357629235300687	0.252816565094422	0.0196516961164111	0.136591153482039	0.032410731680419	0.00384430544568155	-0.0700781900847626	-0.227207568796906	-0.0536606099930782	-0.0463951155918033	-0.0733526131608349	-0.0578423753070249
"Ran_rep"	0.108999120691187	0.0309268317822704	0.0417117387271548	-0.018325187277778	0.0476237126227071	-0.0271125963932528	-0.00285685041973364	-0.00190987932655574	0.0376003075706437	0.0775638549980314	-0.0826482859808148	0.0124911612505231	-0.0225368194728141	-1.06565322856137	0.00113570807029712	-0.108864481292646	0.00674918994905684	-0.131000460222371	-0.0437602072897381	-0.0505701861844958	0.0966486903898421	-0.00325942524026301	-0.109052016836616	-0.0387027564443659	0.191422353723787	-0.0147017877976262
"Bro_ere"	-0.0747969865081357	-0.105276024742546	-0.107809321477036	-0.115895972941542	-0.0967617685765987	-0.0820610279610483	-0.0998661318824578	-0.0705589687666075	-0.111998960206695	-0.0268706907920193	-0.0532963282528279	-0.0999120095287316	-0.0903067557961815	-0.0937584303518312	-0.946519625299215	-0.116540542099405	-0.11665138265248	0.0311376958971435	-0.146276729856675	-0.117228423302395	-0.163541576524728	0.219759728899752	-0.137294718136092	-0.457531330863497	-0.13516093985818	0.267366154357007
"Ran_acr"	0.00856656398917798	-0.0314774210151747	-0.0188252562888311	-0.0517015176008999	-0.0449776433881659	-0.0426568044551167	-0.0130204971992486	-0.0387589162847192	-0.00388340152395675	-0.0399140507698123	0.0987071786649952	-0.0296522035865048	-0.104566293813477	-0.059657163712773	-0.051212446373687	-1.21913322269661	-0.0240852541179872	0.0630388383052164	0.103401592390518	0.0886541691348486	-0.00692386357904978	-0.142509230415333	-0.0632907735769441	0.0585674357269544	-0.101142315141579	-0.0109079977404165
"Bro_hor"	-0.0193987796156688	-0.0128185440229011	0.0234172832118722	-0.00799475026178177	-0.0025424862927083	0.0864469951783228	0.0479729723722446	0.0269801191369936	-0.02030188352528	0.0238996159835679	-0.000451352553289936	-0.0427377832958792	0.0957586517029248	0.167091422853772	0.0219046896933179	0.158473794752554	-0.981405576123165	-0.00151750176428751	0.0443442987471605	-0.0140295941149574	0.222054727454435	0.27399891510111	0.025559858199144	-0.0134810333416955	0.0546475137059846	-0.00366640034883024
"Pla_lan"	-0.0102232040671566	-0.00284048099114997	-0.00944020913089497	-0.0211727562638532	0.0036117509823269	-0.0463233970089769	-0.00116786367463657	-0.0119340033579647	-0.0101389973121178	-0.00543509306953164	0.057150213221697	-0.00608986167659546	0.0308584240524481	0.0110017851514816	-0.00137554476753818	-0.0810394824355373	-0.0449499723741691	-0.827614064133242	-0.0481801209940173	0.00341563759180755	-0.0216188654884461	0.0425234804973213	0.0377689100824073	-0.037210967675682	-0.0230719926912249	-0.154246764991979
"Ach_mil"	-0.0198834332275344	0.00699725846793505	0.0185362264704065	0.0694711654720386	0.0482808683906917	-0.0661400179472788	0.0614401327468641	0.00280458503986806	-0.0646069512146346	0.000758474297238008	0.120792829539698	0.0263787496096322	-0.0253660852247035	0.000799886636631364	-0.0021617345516007	-0.0440651281515058	0.00409814579530621	-0.0114613977028657	-0.57082528910914	0.0396300339860942	0.00877302827887278	-0.0951842353229783	0.0922398233833973	0.00218696771436115	-0.042992701779832	-0.00579540314835077
"Ant_syl"	0.00920050541492455	-0.00607850993766142	-0.0331034138618477	-0.025337769245849	-0.0253679339512794	-0.027011326370568	-0.0330980900703723	0.000744181582029101	-0.0443444348677058	-0.0698063085375091	0.00577572020619071	-0.0158495870547097	-0.0506927900885179	-0.0524281088678682	-0.0313927468930507	-0.125556270321653	0.0178891901025128	-0.0283732442337261	-0.0429180681002007	-0.713129787351878	0.10609479237957	0.00249522443717132	-0.044236274932991	-0.130651996067617	-0.00456406228113332	-0.0204353286564055
