"species","LUI","observed","presence"
"Lol_mul",2.25,10,1
"Cir_arv",2.25,20,1
"Ran_bul",2.25,19,1
"Tri_dub",2.25,10,1
"Lot_cor",2.25,6,1
"Car_car",2.25,23,1
"Leo_his",2.25,1,1
"Vic_sep",2.25,36,1
"Med_lup",2.25,15,1
"Poa_tri",2.5,34,1
"Poa_pra",2.5,41,1
"Alo_pra",2.5,26,1
"Dac_glo",2.5,43,1
"Tri_rep",2.5,41,1
"Tar_sp",2.5,47,1
"Lol_per",2.5,35,1
"Arr_ela",2.5,17,1
"Fes_rub",2.5,15,1
"Fes_pra",2.5,28,1
"Tri_fla",2.5,19,1
"Ely_rep",2.5,24,1
"Tri_pra",2.5,35,1
"Ran_rep",2.5,12,1
"Bro_ere",2.5,1,1
"Ran_acr",2.5,19,1
"Bro_hor",2.5,22,1
"Pla_lan",2.5,35,1
"Ach_mil",2.5,20,1
"Ant_syl",2.5,23,1
"Her_sph",2.5,19,1
"Gal_mol",2.5,23,1
"Hol_lan",2.5,8,1
"Hel_pub",2.5,4,1
"Car_hir",2.5,2,1
"Bra_pin",2.5,1,1
"Pha_aru",2.5,1,1
"Ant_odo",2.5,4,1
"Ver_cha",2.5,23,1
"Fes_ovi",2.5,2,1
"Rum_ace",2.5,19,1
"Des_ces",2.5,3,1
"Phl_pra",2.5,20,1
"Agr_sto",2.5,6,1
"Cyn_cri",2.5,6,1
"Cir_ole",2.5,3,1
"Cre_bie",2.5,15,1
"Cer_hol",2.5,40,1
"Pla_med",2.5,9,1
"Thy_pul",2.5,0,0
"Urt_dio",2.5,1,1
"Lol_mul",2.5,8,1
"Cir_arv",2.5,7,1
"Ran_bul",2.5,10,1
"Tri_dub",2.5,6,1
"Lot_cor",2.5,8,1
"Car_car",2.5,12,1
"Leo_his",2.5,3,1
"Vic_sep",2.5,16,1
"Med_lup",2.5,9,1
"Poa_tri",2.75,27,1
"Poa_pra",2.75,28,1
"Alo_pra",2.75,22,1
"Dac_glo",2.75,27,1
"Tri_rep",2.75,35,1
"Tar_sp",2.75,37,1
"Lol_per",2.75,28,1
"Arr_ela",2.75,9,1
"Fes_rub",2.75,9,1
"Fes_pra",2.75,17,1
