"combos","SND","SFD","overlap","differential","feasibility","pair_to_all","LUI"
"Arr_ela.Pla_lan.Her_sph",1.26148012076517,35.2354395254211,0.923,-0.0139999999999999,1,1,0.5
"Arr_ela.Pla_lan.Hel_pub",0.500868744733854,32.666909482834,0.435,0.071,0,0.666666666666667,0.5
"Arr_ela.Pla_lan.Bra_pin",0.556077134179046,17.379631892334,0.447,-0.047,1,1,0.5
"Arr_ela.Ach_mil.Ant_syl",1.40375402267822,48.4976271154123,0.941,0.002,1,1,0.5
"Arr_ela.Ach_mil.Her_sph",1.36301298448167,58.2149634426591,0.943,0.032,1,1,0.5
"Arr_ela.Ach_mil.Hel_pub",0.47002303564053,33.3702584483532,0.302,0.024,0,0.666666666666667,0.5
"Arr_ela.Ach_mil.Bra_pin",0.931159067568742,33.1210422172982,0.756,0.0329999999999999,1,1,0.5
"Arr_ela.Ant_syl.Her_sph",1.64392671761006,42.923041832361,0.918,0.0299999999999999,1,1,0.5
"Arr_ela.Ant_syl.Hel_pub",0.408878250012368,28.742053788466,0.233,0.063,0,0.333333333333333,0.5
"Arr_ela.Ant_syl.Bra_pin",0.954904337094418,9.32132600758449,0.74,0.0349999999999999,1,1,0.5
"Arr_ela.Her_sph.Hel_pub",0.48311997206896,31.7498472229456,0.321,0.048,0,0.333333333333333,0.5
"Arr_ela.Her_sph.Bra_pin",0.915685552584415,20.8831384507772,0.696,0.013,1,1,0.5
"Arr_ela.Hel_pub.Bra_pin",0.368190245858632,28.0647715212442,0.34,-0.012,0,0.666666666666667,0.5
"Tri_pra.Ran_rep.Bro_ere",0.842718697997096,33.2989282811053,0.836,-0.047,1,1,0.5
"Tri_pra.Ran_rep.Ran_acr",0.935271842602069,45.6506511575448,0.838,-0.018,0,1,0.5
"Tri_pra.Ran_rep.Pla_lan",0.980141044157703,47.5778261991901,0.873,-0.004,0,0.666666666666667,0.5
"Tri_pra.Ran_rep.Ach_mil",0.941745463614862,55.0363795609767,0.911,0.004,0,0.666666666666667,0.5
"Tri_pra.Ran_rep.Ant_syl",0.871211881882888,39.7597209242163,0.889,-0.022,0,1,0.5
"Tri_pra.Ran_rep.Her_sph",0.943681771949397,35.9232854054331,0.81,0.002,1,1,0.5
"Tri_pra.Ran_rep.Hel_pub",0.714656844672989,34.6744406216845,0.712,-0.034,0,0.666666666666667,0.5
"Tri_pra.Ran_rep.Bra_pin",0.804506978886486,31.7290299254847,0.812,-0.0429999999999999,0,1,0.5
"Tri_pra.Bro_ere.Ran_acr",0.882198605212164,25.6402550806369,0.804,-0.021,1,1,0.5
"Tri_pra.Bro_ere.Pla_lan",1.05749398212327,26.1098518600611,0.904,0.0379999999999999,1,1,0.5
"Tri_pra.Bro_ere.Ach_mil",0.781011148623028,31.0970548148189,0.752,-0.027,0,0.666666666666667,0.5
"Tri_pra.Bro_ere.Ant_syl",0.781585844122176,21.6164635058438,0.748,-0.0649999999999999,1,1,0.5
"Tri_pra.Bro_ere.Her_sph",0.56583208216098,22.5871226960255,0.559,-0.0559999999999999,1,1,0.5
"Tri_pra.Bro_ere.Hel_pub",0.174776614728068,13.5415651079418,0.181,-0.013,0,0.666666666666667,0.5
"Tri_pra.Bro_ere.Bra_pin",1.02682831770461,29.1159397486311,0.765,0.0169999999999999,1,1,0.5
"Tri_pra.Ran_acr.Pla_lan",1.18915918674253,36.9960446797744,0.911,0.0419999999999999,1,1,0.5
"Tri_pra.Ran_acr.Ach_mil",1.19515414250537,47.8272853099598,0.896,0.02,0,0.333333333333333,0.5
"Tri_pra.Ran_acr.Ant_syl",1.05302520052076,29.5534811599366,0.861,0.00600000000000001,1,1,0.5
"Tri_pra.Ran_acr.Her_sph",0.847825543102464,34.6643643157935,0.723,0.035,1,1,0.5
"Tri_pra.Ran_acr.Hel_pub",1.02167198217332,15.7915747373335,0.742,0.113,1,1,0.5
"Tri_pra.Ran_acr.Bra_pin",0.920593769665455,21.2078248849004,0.79,0.0419999999999999,1,1,0.5
"Tri_pra.Pla_lan.Ach_mil",1.06634632105704,48.8501103262385,0.917,0.00600000000000001,0,0.666666666666667,0.5
"Tri_pra.Pla_lan.Ant_syl",1.06571555844094,29.9258102970852,0.932,-0.0319999999999999,1,1,0.5
"Tri_pra.Pla_lan.Her_sph",0.90793182666738,34.0260025655248,0.77,0.0619999999999999,1,1,0.5
"Tri_pra.Pla_lan.Hel_pub",0.926328292374866,26.323045525541,0.782,0.091,1,1,0.5
"Tri_pra.Pla_lan.Bra_pin",0.604495167807031,24.5055963534842,0.509,-0.00700000000000001,1,1,0.5
"Tri_pra.Ach_mil.Ant_syl",0.977382278479677,40.5027359607668,0.918,-0.004,1,0.666666666666667,0.5
"Tri_pra.Ach_mil.Her_sph",0.832163504649874,44.300702802106,0.799,0.018,0,0.666666666666667,0.5
"Tri_pra.Ach_mil.Hel_pub",0.75793539342468,30.2190904684531,0.713,0.00700000000000001,1,0.666666666666667,0.5
"Tri_pra.Ach_mil.Bra_pin",0.864640744808189,33.9830073215729,0.808,-0.00900000000000001,0,0.666666666666667,0.5
"Tri_pra.Ant_syl.Her_sph",0.896355135310698,29.4908375781549,0.737,0.015,1,1,0.5
