"species","richness","LUI","feasible"
"Poa_pra","2","2.25",1
"Poa_pra","2","2.5",1
"Poa_pra","2","2.75",1
"Poa_pra","2","3",1
"Tri_rep","2","0.5",0
"Tri_rep","2","0.75",0
"Tri_rep","2","1",1
"Tri_rep","2","1.25",1
"Tri_rep","2","1.5",1
"Tri_rep","2","1.75",1
"Tri_rep","2","2",1
"Tri_rep","2","2.25",1
"Tri_rep","2","2.5",1
"Tri_rep","2","2.75",1
"Tri_rep","2","3",1
"Fes_pra","2","0.5",0
"Fes_pra","2","0.75",0
"Fes_pra","2","1",1
"Fes_pra","2","1.25",1
"Fes_pra","2","1.5",1
"Fes_pra","2","1.75",1
"Fes_pra","2","2",1
"Fes_pra","2","2.25",1
"Fes_pra","2","2.5",1
"Fes_pra","2","2.75",1
"Fes_pra","2","3",1
"Cer_hol","2","0.5",0
"Cer_hol","2","0.75",0
"Cer_hol","2","1",0
"Cer_hol","2","1.25",1
"Cer_hol","2","1.5",1
"Cer_hol","2","1.75",1
"Cer_hol","2","2",1
"Cer_hol","2","2.25",1
"Cer_hol","2","2.5",1
"Cer_hol","2","2.75",1
"Cer_hol","2","3",1
"Gal_mol","2","0.5",0
"Gal_mol","2","0.75",0
"Gal_mol","2","1",0
"Gal_mol","2","1.25",0
"Gal_mol","2","1.5",1
"Gal_mol","2","1.75",1
"Gal_mol","2","2",1
"Gal_mol","2","2.25",1
"Gal_mol","2","2.5",1
"Gal_mol","2","2.75",1
"Gal_mol","2","3",1
"Car_hir","2","0.5",0
"Car_hir","2","0.75",0
"Car_hir","2","1",0
"Car_hir","2","1.25",0
"Car_hir","2","1.5",0
"Car_hir","2","1.75",1
"Car_hir","2","2",1
"Car_hir","2","2.25",1
"Car_hir","2","2.5",1
"Car_hir","2","2.75",1
"Car_hir","2","3",1
"Ran_bul","2","0.5",0
"Ran_bul","2","0.75",0
"Ran_bul","2","1",0
"Ran_bul","2","1.25",0
"Ran_bul","2","1.5",0
"Ran_bul","2","1.75",1
"Ran_bul","2","2",1
"Ran_bul","2","2.25",1
"Ran_bul","2","2.5",1
"Ran_bul","2","2.75",1
"Ran_bul","2","3",1
"Cyn_cri","2","0.5",0
"Cyn_cri","2","0.75",0
"Cyn_cri","2","1",0
"Cyn_cri","2","1.25",0
"Cyn_cri","2","1.5",0
"Cyn_cri","2","1.75",0
"Cyn_cri","2","2",1
"Cyn_cri","2","2.25",1
"Cyn_cri","2","2.5",1
"Cyn_cri","2","2.75",1
"Cyn_cri","2","3",1
"Cir_ole","2","0.5",0
"Cir_ole","2","0.75",0
"Cir_ole","2","1",0
"Cir_ole","2","1.25",0
"Cir_ole","2","1.5",0
"Cir_ole","2","1.75",0
"Cir_ole","2","2",0
"Cir_ole","2","2.25",1
"Cir_ole","2","2.5",1
"Cir_ole","2","2.75",1
"Cir_ole","2","3",1
"Vic_sep","2","0.5",1
"Vic_sep","2","0.75",1
"Vic_sep","2","1",1
"Vic_sep","2","1.25",1
"Vic_sep","2","1.5",1
"Vic_sep","2","1.75",0
"Vic_sep","2","2",0
"Vic_sep","2","2.25",0
"Vic_sep","2","2.5",0
"Vic_sep","2","2.75",0
"Vic_sep","2","3",0
"Med_lup","2","0.5",1
"Med_lup","2","0.75",1
"Med_lup","2","1",1
"Med_lup","2","1.25",1
"Med_lup","2","1.5",1
"Med_lup","2","1.75",1
"Med_lup","2","2",1
"Med_lup","2","2.25",1
"Med_lup","2","2.5",1
"Med_lup","2","2.75",1
"Med_lup","2","3",1
