"species","LUI","SND","SFD","Type"
"Ran_rep.Tri_dub","0.5",0.987862726360713,25.7786721952125,"Predicted"
"Ran_rep.Lot_cor","0.5",1.1108513017048,34.8439548770375,"Predicted"
"Ran_rep.Car_car","0.5",1.9240501115694,23.2619906975485,"Predicted"
"Ran_rep.Leo_his","0.5",0.967195822080271,41.0971367739843,"Predicted"
"Ran_rep.Vic_sep","0.5",1.45566078592403,4.00628389598057,"Predicted"
"Ran_rep.Med_lup","0.5",0.987077247372033,15.1171448797608,"Predicted"
"Bro_ere.Ran_acr","0.5",0.922430035612085,28.7372002641456,"Predicted"
"Bro_ere.Pla_lan","0.5",1.01591330719065,33.9911002838907,"Predicted"
"Bro_ere.Ach_mil","0.5",0.877061530234599,39.0810236692855,"Predicted"
"Bro_ere.Ant_syl","0.5",0.896870110892921,26.3869561665007,"Predicted"
"Bro_ere.Her_sph","0.5",0.79657553993042,29.6659199437236,"Predicted"
"Bro_ere.Hel_pub","0.5",0.450724055978082,10.1837068859746,"Predicted"
"Bro_ere.Bra_pin","0.5",1.31298577074972,34.1854613900154,"Predicted"
"Bro_ere.Ant_odo","0.5",0.988924989346723,44.9431847970707,"Predicted"
"Bro_ere.Ver_cha","0.5",0.954078599304259,31.6403300749832,"Predicted"
"Bro_ere.Fes_ovi","0.5",1.08594296025213,21.6959391158864,"Predicted"
"Bro_ere.Rum_ace","0.5",0.856366870724341,29.3632566852358,"Predicted"
"Bro_ere.Des_ces","0.5",0.895893304596446,32.3041903868972,"Predicted"
"Bro_ere.Cre_bie","0.5",0.38014383162982,10.2681006023487,"Predicted"
"Bro_ere.Pla_med","0.5",1.39552937360918,60.6549876549434,"Predicted"
"Bro_ere.Thy_pul","0.5",1.35048707498212,38.6884770866376,"Predicted"
"Bro_ere.Lol_mul","0.5",0.933287135565363,23.6860853690548,"Predicted"
"Bro_ere.Tri_dub","0.5",1.04054442561762,44.349691368009,"Predicted"
"Bro_ere.Lot_cor","0.5",1.35994722035969,43.7313292444203,"Predicted"
"Bro_ere.Car_car","0.5",0.0196305027623582,1.6547461634483,"Predicted"
"Bro_ere.Leo_his","0.5",0.900683910249168,19.0782786304983,"Predicted"
"Bro_ere.Vic_sep","0.5",0.267502645128048,9.73859436257649,"Predicted"
"Bro_ere.Med_lup","0.5",0.771899272041121,32.1018833028337,"Predicted"
"Ran_acr.Pla_lan","0.5",0.997160527615055,9.63478787711446,"Predicted"
"Ran_acr.Ach_mil","0.5",1.09778712663766,48.9548831638198,"Predicted"
"Ran_acr.Ant_syl","0.5",1.01882309276666,4.38481535489555,"Predicted"
"Ran_acr.Her_sph","0.5",0.966514373077414,22.5161729902818,"Predicted"
"Ran_acr.Hel_pub","0.5",1.05974988312263,20.0783405287339,"Predicted"
"Ran_acr.Bra_pin","0.5",0.970385393983334,17.8625793983475,"Predicted"
"Ran_acr.Pha_aru","0.5",0.982898510871908,17.3765602860428,"Predicted"
"Ran_acr.Ant_odo","0.5",1.14090699328717,49.1930734485288,"Predicted"
"Ran_acr.Ver_cha","0.5",1.00517245642899,6.25533104548682,"Predicted"
"Ran_acr.Fes_ovi","0.5",0.946888061441273,18.6837650571819,"Predicted"
"Ran_acr.Rum_ace","0.5",0.958626358663229,11.8815817228102,"Predicted"
"Ran_acr.Des_ces","0.5",0.882528555657508,10.5630613858495,"Predicted"
"Ran_acr.Agr_sto","0.5",0.993902344467953,18.3736211866827,"Predicted"
"Ran_acr.Cre_bie","0.5",0.601634170329738,4.68091380728729,"Predicted"
"Ran_acr.Pla_med","0.5",0.947411999289399,37.705111612921,"Predicted"
"Ran_acr.Thy_pul","0.5",0.924758946606177,14.1418498482663,"Predicted"
"Ran_acr.Lol_mul","0.5",0.927177565458848,8.82184370651216,"Predicted"
"Ran_acr.Tri_dub","0.5",0.962693088450585,30.1507527496495,"Predicted"
"Ran_acr.Lot_cor","0.5",0.749567107503619,9.93399690744774,"Predicted"
"Ran_acr.Car_car","0.5",1.8653378174883,75.0123108258714,"Predicted"
"Ran_acr.Leo_his","0.5",0.863374048305929,15.150086025836,"Predicted"
"Ran_acr.Vic_sep","0.5",1.67892190923198,66.1312570781781,"Predicted"
"Ran_acr.Med_lup","0.5",0.90953217812394,34.3596348444863,"Predicted"
"Pla_lan.Ach_mil","0.5",0.966985597969133,41.0728741604517,"Predicted"
"Pla_lan.Ant_syl","0.5",0.973771813684383,6.85207837015157,"Predicted"
"Pla_lan.Her_sph","0.5",0.952241028772301,13.6638741681941,"Predicted"
"Pla_lan.Hel_pub","0.5",0.973453182204973,32.090727279568,"Predicted"
"Pla_lan.Bra_pin","0.5",0.749153127315413,20.3211750776624,"Predicted"
"Pla_lan.Pha_aru","0.5",0.963941677224859,11.4574765243421,"Predicted"
"Pla_lan.Ant_odo","0.5",1.09271413700008,38.2471481613542,"Predicted"
"Pla_lan.Ver_cha","0.5",0.978979440814868,3.40535093620884,"Predicted"
"Pla_lan.Fes_ovi","0.5",0.969434070203658,22.7680978089363,"Predicted"
"Pla_lan.Rum_ace","0.5",0.860148230890443,1.1214683159587,"Predicted"
"Pla_lan.Des_ces","0.5",0.96265512471736,8.72426889299446,"Predicted"
"Pla_lan.Agr_sto","0.5",1.0214645045394,16.717427961269,"Predicted"
"Pla_lan.Cre_bie","0.5",1.29671678826373,25.6129516388677,"Predicted"
"Pla_lan.Pla_med","0.5",0.669961506861669,28.9313180323179,"Predicted"
"Pla_lan.Thy_pul","0.5",0.896043217417325,20.212825875355,"Predicted"
"Pla_lan.Lol_mul","0.5",1.09364454090171,8.40770600726493,"Predicted"
"Pla_lan.Tri_dub","0.5",1.23746735292389,33.5719755626338,"Predicted"
"Pla_lan.Lot_cor","0.5",1.17094581591498,0.416466282602814,"Predicted"
"Pla_lan.Car_car","0.5",0.234599057497352,6.19283370981703,"Predicted"
"Pla_lan.Leo_his","0.5",1.09599146882828,7.34668372420431,"Predicted"
"Pla_lan.Vic_sep","0.5",1.03194564625409,36.0183495061273,"Predicted"
"Pla_lan.Med_lup","0.5",0.985440271921813,34.1314522893884,"Predicted"
"Ach_mil.Ant_syl","0.5",0.975293007135437,40.7187102761722,"Predicted"
"Ach_mil.Her_sph","0.5",0.977115190011193,40.2879535063348,"Predicted"
"Ach_mil.Hel_pub","0.5",0.90516652993878,38.6754091969628,"Predicted"
"Ach_mil.Bra_pin","0.5",0.953521434988476,44.1087478700322,"Predicted"
"Ach_mil.Pha_aru","0.5",0.887560028043891,36.8187012874972,"Predicted"
"Ach_mil.Ant_odo","0.5",1.06126449679145,13.1380567950849,"Predicted"
"Ach_mil.Ver_cha","0.5",0.959179321945418,44.0773301497617,"Predicted"
"Ach_mil.Fes_ovi","0.5",1.10794840561685,47.0786726690623,"Predicted"
"Ach_mil.Rum_ace","0.5",1.02920276287693,41.9926307655437,"Predicted"
"Ach_mil.Des_ces","0.5",1.02911623406771,38.8862749389886,"Predicted"
"Ach_mil.Agr_sto","0.5",0.976104943979534,42.0825658024361,"Predicted"
"Ach_mil.Cre_bie","0.5",0.972588511696467,42.1892752336841,"Predicted"
"Ach_mil.Pla_med","0.5",1.23436737343284,21.122487042343,"Predicted"
"Ach_mil.Thy_pul","0.5",0.910103621518905,45.4412432085728,"Predicted"
"Ach_mil.Lol_mul","0.5",0.994685505024564,42.8664341621127,"Predicted"
"Ach_mil.Tri_dub","0.5",1.11550147693104,31.1730352642908,"Predicted"
"Ach_mil.Lot_cor","0.5",1.46636239155447,25.3910168659054,"Predicted"
"Ach_mil.Car_car","0.5",1.94724063020567,8.24421512492285,"Predicted"
"Ach_mil.Leo_his","0.5",0.666421507797244,53.9005431277462,"Predicted"
"Ach_mil.Vic_sep","0.5",1.17099729109649,28.4196318240912,"Predicted"
"Ach_mil.Med_lup","0.5",1.05655179523264,30.5538938391864,"Predicted"
"Ant_syl.Her_sph","0.5",1.10617295342795,28.7612724885547,"Predicted"
"Ant_syl.Hel_pub","0.5",0.815169508938472,30.4282023198366,"Predicted"
"Ant_syl.Bra_pin","0.5",0.939600341614615,15.9808427684282,"Predicted"
"Ant_syl.Pha_aru","0.5",1.10362053839819,13.9858772371097,"Predicted"
"Ant_syl.Ant_odo","0.5",1.00698341068205,41.7375940605723,"Predicted"
"Ant_syl.Ver_cha","0.5",0.973498848992429,6.73279788088658,"Predicted"
"Ant_syl.Fes_ovi","0.5",0.928219841774562,17.2012151882034,"Predicted"
"Ant_syl.Rum_ace","0.5",0.912679416823169,11.2022855381951,"Predicted"
"Ant_syl.Des_ces","0.5",1.00896274315191,18.1875488389522,"Predicted"
"Ant_syl.Agr_sto","0.5",0.961716838584075,21.2767713376014,"Predicted"
"Ant_syl.Cre_bie","0.5",1.19780681554294,29.6940377842681,"Predicted"
"Ant_syl.Pla_med","0.5",0.895652710884965,36.6261288685317,"Predicted"
"Ant_syl.Thy_pul","0.5",0.871182594505163,13.0017219297194,"Predicted"
"Ant_syl.Lol_mul","0.5",0.924553293416358,5.53827879975614,"Predicted"
"Ant_syl.Tri_dub","0.5",0.918396737678633,32.1736490320013,"Predicted"
"Ant_syl.Lot_cor","0.5",0.881660915642949,2.82007687994608,"Predicted"
"Ant_syl.Car_car","0.5",0.347091382613127,5.06928607018535,"Predicted"
"Ant_syl.Leo_his","0.5",0.915560702879445,10.0210671862735,"Predicted"
"Ant_syl.Vic_sep","0.5",1.1436965259678,42.6552574221152,"Predicted"
"Ant_syl.Med_lup","0.5",0.950985874665681,33.9315876889447,"Predicted"
"Her_sph.Hel_pub","0.5",0.924417820512575,36.4812204736081,"Predicted"
"Her_sph.Bra_pin","0.5",0.937467294607632,30.0257882371204,"Predicted"
"Her_sph.Pha_aru","0.5",0.905001060831179,1.05645576596249,"Predicted"
"Her_sph.Ant_odo","0.5",0.99503616586467,38.4414178764269,"Predicted"
"Her_sph.Ver_cha","0.5",0.922478860927666,13.7968507002658,"Predicted"
"Her_sph.Fes_ovi","0.5",0.946286005833723,30.5641993862386,"Predicted"
"Her_sph.Rum_ace","0.5",0.946644492244805,8.51516999367595,"Predicted"
"Her_sph.Des_ces","0.5",0.97453506490167,0.195497166688638,"Predicted"
"Her_sph.Agr_sto","0.5",1.01723152328801,2.25222454530325,"Predicted"
"Her_sph.Cre_bie","0.5",1.46920686671784,18.261369372728,"Predicted"
"Her_sph.Pla_med","0.5",1.02479586817534,34.7680388197817,"Predicted"
"Her_sph.Thy_pul","0.5",0.90489597129247,28.3644336614982,"Predicted"
"Her_sph.Lol_mul","0.5",0.955841765367592,24.6772269902239,"Predicted"
"Her_sph.Tri_dub","0.5",1.00920620029137,13.5209855236324,"Predicted"
"Her_sph.Lot_cor","0.5",0.974217189976849,18.3037939579795,"Predicted"
"Her_sph.Car_car","0.5",0.191091250624396,13.8574427608118,"Predicted"
"Her_sph.Leo_his","0.5",0.931317182253987,28.6669708153293,"Predicted"
"Her_sph.Vic_sep","0.5",0.716347361609742,13.9273524581031,"Predicted"
"Her_sph.Med_lup","0.5",0.960195176674724,28.3654110118811,"Predicted"
"Hel_pub.Bra_pin","0.5",0.978776158737935,5.43867366320277,"Predicted"
"Hel_pub.Ant_odo","0.5",1.00389239712531,32.7505263808039,"Predicted"
"Hel_pub.Ver_cha","0.5",1.11950206692772,33.5864960295641,"Predicted"
"Hel_pub.Fes_ovi","0.5",0.743278573782447,16.3171159488827,"Predicted"
"Hel_pub.Rum_ace","0.5",0.820182372391364,35.2969810779474,"Predicted"
"Hel_pub.Des_ces","0.5",0.90670820048829,25.4107202445871,"Predicted"
"Hel_pub.Agr_sto","0.5",0.914060614362952,36.7442515922865,"Predicted"
"Hel_pub.Cre_bie","0.5",1.27063117807484,48.7277655282319,"Predicted"
"Hel_pub.Pla_med","0.5",0.9815065855224,37.714513958097,"Predicted"
"Hel_pub.Thy_pul","0.5",0.919709563053432,11.9287305086084,"Predicted"
"Hel_pub.Tri_dub","0.5",0.823693812728218,33.7162215992445,"Predicted"
"Hel_pub.Lot_cor","0.5",0.517276864119966,9.88761072188315,"Predicted"
"Hel_pub.Car_car","0.5",1.78638774800554,82.2269167359473,"Predicted"
"Hel_pub.Leo_his","0.5",0.549410671647786,2.97594220063569,"Predicted"
"Hel_pub.Vic_sep","0.5",1.65557517848363,67.0649350646179,"Predicted"
"Hel_pub.Med_lup","0.5",1.0128988701112,42.8428366388293,"Predicted"
"Bra_pin.Ant_odo","0.5",0.866497781230675,44.1939145196957,"Predicted"
"Bra_pin.Ver_cha","0.5",0.958752718984551,21.7704704210114,"Predicted"
"Bra_pin.Fes_ovi","0.5",1.31065999754076,8.40283081362599,"Predicted"
"Bra_pin.Rum_ace","0.5",0.936671195741324,24.7672918168565,"Predicted"
"Bra_pin.Des_ces","0.5",0.929662351082223,29.3086161778755,"Predicted"
"Bra_pin.Agr_sto","0.5",0.921149740619027,31.7956044222887,"Predicted"
"Bra_pin.Cre_bie","0.5",0.479933076286912,8.22180686604491,"Predicted"
"Bra_pin.Pla_med","0.5",1.40300159132696,62.1096745492599,"Predicted"
"Bra_pin.Thy_pul","0.5",0.511144695564703,9.24303531595676,"Predicted"
"Bra_pin.Tri_dub","0.5",0.900025042437472,33.1789590483285,"Predicted"
"Bra_pin.Lot_cor","0.5",0.738831006830983,8.01392087397628,"Predicted"
"Bra_pin.Car_car","0.5",0.0721988020701822,2.57711068646677,"Predicted"
"Bra_pin.Leo_his","0.5",0.681953577218891,3.44236012669565,"Predicted"
"Bra_pin.Vic_sep","0.5",0.899620267454358,36.3631416692006,"Predicted"
"Bra_pin.Med_lup","0.5",0.873626386658261,34.2739430775341,"Predicted"
"Pha_aru.Ver_cha","0.5",0.982367224029921,12.357416783885,"Predicted"
"Pha_aru.Rum_ace","0.5",0.958118904633339,7.23041753277671,"Predicted"
"Pha_aru.Des_ces","0.5",1.01543518200677,1.53218218614914,"Predicted"
"Pha_aru.Agr_sto","0.5",0.993716773742829,7.59818287286299,"Predicted"
"Pha_aru.Med_lup","0.5",1.00049843045012,28.7723688048144,"Predicted"
"Ant_odo.Ver_cha","0.5",0.980607315234657,41.4510096226285,"Predicted"
"Ant_odo.Fes_ovi","0.5",0.959464644510614,38.7374800033999,"Predicted"
"Ant_odo.Rum_ace","0.5",0.929827061527805,41.2447484556333,"Predicted"
"Ant_odo.Des_ces","0.5",0.976753844066103,39.8988185856404,"Predicted"
"Ant_odo.Agr_sto","0.5",1.01968580830193,39.0824418305406,"Predicted"
