"Plot"	"Year"	"LUI"	"Poa_tri"	"Poa_pra"	"Alo_pra"	"Dac_glo"	"Tri_rep"	"Tar_off"	"Lol_per"	"Arr_ela"	"Fes_rub"	"Fes_pra"	"Tri_fla"	"Ely_rep"	"Tri_pra"	"Ran_rep"	"Bro_ere"	"Ran_acr"	"Bro_hor"	"Pla_lan"	"Ant_syl"	"Her_sph"	"Gal_mol"	"Hol_lan"	"Hel_pub"	"Car_hir"	"Bra_pin"	"Pha_aru"
"HEG11"	2008	0.99	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
"HEG12"	2008	2.29	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
"HEG13"	2008	1.84	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
"HEG14"	2008	2.68	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
"HEG15"	2008	1.79	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0
"HEG16"	2008	0.96	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0
"HEG17"	2008	0.63	0	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0
"HEG18"	2008	0.84	0	1	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	1	0
"HEG19"	2008	0.63	0	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0
"HEG20"	2008	0.67	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0
"HEG21"	2008	0.53	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
"HEG22"	2008	1.53	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
"HEG23"	2008	1.57	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
"HEG24"	2008	1.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HEG25"	2008	1.81	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"HEG26"	2008	0.99	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
"HEG27"	2008	1.68	0	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	0	0
"HEG28"	2008	2.21	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0
"HEG29"	2008	1.55	0	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0
"HEG30"	2008	2.33	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0
"HEG31"	2008	1.87	0	1	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0
"HEG32"	2008	1.84	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"HEG33"	2008	1.98	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
"HEG34"	2008	1.88	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0
"HEG35"	2008	1.9	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
"HEG36"	2008	2.06	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
"HEG37"	2008	2.08	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"HEG38"	2008	1.49	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
"HEG39"	2008	1.67	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0
"HEG40"	2008	0.59	1	1	1	0	1	1	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0
"HEG41"	2008	0.67	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
"HEG42"	2008	0.63	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0
"HEG43"	2008	0.85	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0
"HEG44"	2008	0.96	0	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0
"HEG45"	2008	0.38	0	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	0
"HEG46"	2008	0.42	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
"HEG47"	2008	1.35	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0
"HEG48"	2008	1.76	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0
"HEG49"	2008	2.66	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0
"HEG50"	2008	2.6	0	1	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0
"SEG01"	2008	2.45	1	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
"SEG02"	2008	1.88	1	1	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0
"SEG03"	2008	1.91	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0
"SEG04"	2008	0.99	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"SEG05"	2008	0.99	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
"SEG06"	2008	1.12	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1
"SEG07"	2008	1.99	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0
"SEG08"	2008	1.4	1	1	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0
"SEG09"	2008	1.36	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
"SEG10"	2008	1.91	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1
"SEG11"	2008	1.91	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0
"SEG12"	2008	2.45	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
"SEG13"	2008	2.23	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0
"SEG14"	2008	0.99	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
"SEG15"	2008	0.99	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1
"SEG16"	2008	0.99	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
"SEG17"	2008	1.23	1	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0
"SEG18"	2008	1.4	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"SEG19"	2008	0.99	1	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1
"SEG20"	2008	1.17	0	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
"SEG21"	2008	2.08	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
"SEG22"	2008	1.11	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0
"SEG23"	2008	1.4	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
"SEG24"	2008	1.4	1	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
"SEG25"	2008	1.4	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0
"SEG26"	2008	0.99	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1
"SEG27"	2008	0.99	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
"SEG28"	2008	1.4	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
"SEG29"	2008	0.99	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	1
"SEG30"	2008	0.99	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"SEG31"	2008	0.99	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"SEG32"	2008	0.99	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"SEG33"	2008	1.38	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0
"SEG34"	2008	2.42	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
"SEG35"	2008	2.42	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
