"Plot"	"Year"	"LUI"	"rich_full"
"SEG05"	"2009"	1.02	17
"SEG06"	"2009"	1.56	17
"SEG07"	"2009"	1.64	0
"SEG08"	"2009"	1.44	22
"SEG09"	"2009"	2	18
"SEG10"	"2009"	2.25	17
"SEG11"	"2009"	2.25	24
"SEG12"	"2009"	2.29	12
"SEG13"	"2009"	1.44	22
"SEG14"	"2009"	1.35	15
"SEG15"	"2009"	1.02	24
"SEG16"	"2009"	1.02	14
"SEG17"	"2009"	1.11	24
"SEG18"	"2009"	1.44	15
"SEG19"	"2009"	1.25	18
"SEG20"	"2009"	1.21	22
"SEG21"	"2009"	1.39	17
"SEG22"	"2009"	1.5	18
"SEG23"	"2009"	1.88	13
"SEG24"	"2009"	1.02	20
"SEG25"	"2009"	1.44	18
"SEG26"	"2009"	1.88	17
"SEG27"	"2009"	1.02	14
"SEG28"	"2009"	1.02	17
"SEG29"	"2009"	1.02	20
"SEG30"	"2009"	1.44	19
"SEG31"	"2009"	1.44	17
"SEG32"	"2009"	1.44	17
"SEG33"	"2009"	1.83	21
"SEG34"	"2009"	1.47	19
"SEG35"	"2009"	1.42	17
"SEG36"	"2009"	1.87	18
"SEG37"	"2009"	1.57	30
"SEG38"	"2009"	1.51	21
"SEG39"	"2009"	1.21	23
"SEG40"	"2009"	2.45	25
"SEG41"	"2009"	1.02	23
"SEG42"	"2009"	2.45	20
"SEG43"	"2009"	3.82	23
"SEG44"	"2009"	1.62	21
"SEG45"	"2009"	1.29	27
"SEG46"	"2009"	1.61	16
"SEG47"	"2009"	1.23	16
"SEG48"	"2009"	2.1	24
"SEG49"	"2009"	1.78	23
"SEG50"	"2009"	1.02	28
"AEG01"	"2010"	2.14	32
"AEG02"	"2010"	3.11	18
"AEG03"	"2010"	1.94	25
"AEG04"	"2010"	1.52	24
"AEG05"	"2010"	1.5	20
"AEG06"	"2010"	1.71	29
"AEG07"	"2010"	0.57	45
"AEG08"	"2010"	1.37	39
"AEG09"	"2010"	0.8	44
"AEG10"	"2010"	0.99	46
"AEG11"	"2010"	2.41	36
"AEG12"	"2010"	2.76	28
"AEG13"	"2010"	2.76	26
"AEG14"	"2010"	2.12	22
"AEG15"	"2010"	2.6	23
"AEG16"	"2010"	1.61	20
"AEG17"	"2010"	2.06	38
"AEG18"	"2010"	2.08	23
"AEG19"	"2010"	1.57	26
"AEG20"	"2010"	1.62	28
"AEG21"	"2010"	3.23	23
"AEG22"	"2010"	2.06	40
"AEG23"	"2010"	0.99	27
"AEG24"	"2010"	2.12	21
"AEG25"	"2010"	1.34	51
"AEG26"	"2010"	1.62	43
"AEG27"	"2010"	1.07	44
"AEG28"	"2010"	0.74	52
"AEG29"	"2010"	1.42	40
"AEG30"	"2010"	2.36	24
"AEG31"	"2010"	1.83	32
"AEG32"	"2010"	0.67	30
"AEG33"	"2010"	1.18	35
"AEG34"	"2010"	0.91	27
"AEG35"	"2010"	1.79	25
"AEG36"	"2010"	2.19	27
"AEG37"	"2010"	1.71	24
"AEG38"	"2010"	1.4	23
"AEG39"	"2010"	1.71	20
"AEG40"	"2010"	2.06	34
"AEG41"	"2010"	2.34	27
"AEG42"	"2010"	2.1	17
"AEG43"	"2010"	1.58	26
"AEG44"	"2010"	1.95	28
"AEG45"	"2010"	1.4	25
"AEG46"	"2010"	1.48	30
"AEG47"	"2010"	0.72	44
"AEG48"	"2010"	0.67	40
"AEG49"	"2010"	0.94	39
"AEG50"	"2010"	2.7	17
"HEG01"	"2010"	2.49	13
"HEG02"	"2010"	2.67	18
"HEG03"	"2010"	2.67	15
"HEG04"	"2010"	2.15	14
"HEG05"	"2010"	2.57	18
"HEG06"	"2010"	2.34	24
"HEG07"	"2010"	0.52	35
"HEG08"	"2010"	0.52	33
"HEG09"	"2010"	0.67	49
"HEG10"	"2010"	2.55	29
"HEG11"	"2010"	2.49	30
"HEG12"	"2010"	3.12	21
"HEG13"	"2010"	1.5	19
"HEG14"	"2010"	2.32	32
"HEG15"	"2010"	1.84	25
"HEG16"	"2010"	1.11	27
"HEG17"	"2010"	0.69	39
"HEG18"	"2010"	0.73	47
"HEG19"	"2010"	0.69	31
"HEG20"	"2010"	0.62	38
"HEG21"	"2010"	0.55	39
"HEG22"	"2010"	1.45	20
"HEG23"	"2010"	1.2	35
"HEG24"	"2010"	1.34	25
"HEG25"	"2010"	1.58	36
"HEG26"	"2010"	1.4	20
"HEG27"	"2010"	1.63	32
"HEG28"	"2010"	1.8	26
"HEG29"	"2010"	1.8	34
"HEG30"	"2010"	2.21	21
"HEG31"	"2010"	2.27	30
"HEG32"	"2010"	1.96	19
"HEG33"	"2010"	2.08	23
"HEG34"	"2010"	2.34	20
"HEG35"	"2010"	2.34	21
"HEG36"	"2010"	2.06	29
"HEG37"	"2010"	2.13	21
"HEG38"	"2010"	1.54	29
"HEG39"	"2010"	1.11	28
"HEG40"	"2010"	1.85	22
"HEG41"	"2010"	0.62	52
"HEG42"	"2010"	0.69	53
"HEG43"	"2010"	1.32	71
"HEG44"	"2010"	0.68	43
"HEG45"	"2010"	0.76	39
"HEG46"	"2010"	0.78	38
"HEG47"	"2010"	1.73	22
"HEG48"	"2010"	1.61	27
"HEG49"	"2010"	1.44	31
"HEG50"	"2010"	1.08	29
"SEG01"	"2010"	2.08	19
"SEG02"	"2010"	1.75	18
"SEG03"	"2010"	1.83	17
"SEG04"	"2010"	0.99	14
"SEG05"	"2010"	1.4	11
"SEG06"	"2010"	1.76	22
"SEG07"	"2010"	1.88	15
"SEG08"	"2010"	0.99	15
"SEG09"	"2010"	1.11	20
"SEG10"	"2010"	1.83	14
"SEG11"	"2010"	1.83	24
"SEG12"	"2010"	2.08	18
"SEG13"	"2010"	1.4	24
"SEG14"	"2010"	0.97	17
"SEG15"	"2010"	1.4	21
"SEG16"	"2010"	0.99	17
"SEG17"	"2010"	1.35	20
"SEG18"	"2010"	1.4	15
"SEG19"	"2010"	1.23	15
"SEG20"	"2010"	1.49	21
"SEG21"	"2010"	1.43	18
"SEG22"	"2010"	2.71	21
"SEG23"	"2010"	1.69	14
"SEG24"	"2010"	0.99	22
"SEG25"	"2010"	1.4	26
"SEG26"	"2010"	1.69	14
"SEG27"	"2010"	0.99	13
"SEG28"	"2010"	0.99	18
"SEG29"	"2010"	0.99	19
"SEG30"	"2010"	1.4	20
"SEG31"	"2010"	1.4	21
"SEG32"	"2010"	1.4	20
"SEG33"	"2010"	1.56	21
"SEG34"	"2010"	1.88	26
"SEG35"	"2010"	1.91	22
"SEG36"	"2010"	1.61	18
"SEG37"	"2010"	1.47	29
"SEG38"	"2010"	1.71	24
"SEG39"	"2010"	1.51	22
"SEG40"	"2010"	2.05	22
"SEG41"	"2010"	1.65	19
"SEG42"	"2010"	2.46	21
"SEG43"	"2010"	2.02	20
