"Plot"	"Year"	"LUI"	"rich_26spp"
"HEG37"	"2009"	2.09	10
"HEG38"	"2009"	2.27	14
"HEG39"	"2009"	0.46	15
"HEG40"	"2009"	2.23	15
"HEG41"	"2009"	0.74	11
"HEG42"	"2009"	0.72	13
"HEG43"	"2009"	0.81	17
"HEG44"	"2009"	0.64	15
"HEG45"	"2009"	0.9	21
"HEG46"	"2009"	0.85	12
"HEG47"	"2009"	1.5	15
"HEG48"	"2009"	1.02	13
"HEG49"	"2009"	1.02	15
"HEG50"	"2009"	1.28	15
"SEG01"	"2009"	2.29	10
"SEG02"	"2009"	2.33	9
"SEG03"	"2009"	2.25	11
"SEG04"	"2009"	1.02	5
"SEG05"	"2009"	1.02	9
"SEG06"	"2009"	1.56	7
"SEG07"	"2009"	1.64	0
"SEG08"	"2009"	1.44	12
"SEG09"	"2009"	2	9
"SEG10"	"2009"	2.25	8
"SEG11"	"2009"	2.25	12
"SEG12"	"2009"	2.29	8
"SEG13"	"2009"	1.44	14
"SEG14"	"2009"	1.35	10
"SEG15"	"2009"	1.02	13
"SEG16"	"2009"	1.02	8
"SEG17"	"2009"	1.11	10
"SEG18"	"2009"	1.44	6
"SEG19"	"2009"	1.25	9
"SEG20"	"2009"	1.21	10
"SEG21"	"2009"	1.39	8
"SEG22"	"2009"	1.5	12
"SEG23"	"2009"	1.88	6
"SEG24"	"2009"	1.02	10
"SEG25"	"2009"	1.44	8
"SEG26"	"2009"	1.88	10
"SEG27"	"2009"	1.02	6
"SEG28"	"2009"	1.02	9
"SEG29"	"2009"	1.02	11
"SEG30"	"2009"	1.44	11
"SEG31"	"2009"	1.44	10
"SEG32"	"2009"	1.44	10
"SEG33"	"2009"	1.83	11
"SEG34"	"2009"	1.47	10
"SEG35"	"2009"	1.42	9
"SEG36"	"2009"	1.87	12
"SEG37"	"2009"	1.57	12
"SEG38"	"2009"	1.51	9
"SEG39"	"2009"	1.21	10
"SEG40"	"2009"	2.45	10
"SEG41"	"2009"	1.02	10
"SEG42"	"2009"	2.45	12
"SEG43"	"2009"	3.82	11
"SEG44"	"2009"	1.62	12
"SEG45"	"2009"	1.29	12
"SEG46"	"2009"	1.61	8
"SEG47"	"2009"	1.23	11
"SEG48"	"2009"	2.1	11
"SEG49"	"2009"	1.78	12
"SEG50"	"2009"	1.02	14
"AEG01"	"2010"	2.14	17
"AEG02"	"2010"	3.11	11
"AEG03"	"2010"	1.94	13
"AEG04"	"2010"	1.52	14
"AEG05"	"2010"	1.5	12
"AEG06"	"2010"	1.71	16
"AEG07"	"2010"	0.57	7
"AEG08"	"2010"	1.37	13
"AEG09"	"2010"	0.8	8
"AEG10"	"2010"	0.99	15
"AEG11"	"2010"	2.41	18
"AEG12"	"2010"	2.76	16
"AEG13"	"2010"	2.76	16
"AEG14"	"2010"	2.12	17
"AEG15"	"2010"	2.6	14
"AEG16"	"2010"	1.61	13
"AEG17"	"2010"	2.06	17
"AEG18"	"2010"	2.08	17
