"Plot"	"Year"	"LUI"	"Poa_tri"	"Poa_pra"	"Alo_pra"	"Dac_glo"	"Tri_rep"	"Tar_off"	"Lol_per"	"Arr_ela"	"Fes_rub"	"Fes_pra"	"Tri_fla"	"Ely_rep"	"Tri_pra"	"Ran_rep"	"Bro_ere"	"Ran_acr"	"Bro_hor"	"Pla_lan"	"Ach_mil"	"Ant_syl"	"Her_sph"	"Gal_mol"	"Hol_lan"	"Hel_pub"	"Car_hir"	"Bra_pin"	"Pha_aru"	"Ant_odo"	"Ver_cha"	"Fes_ovi"	"Rum_ace"	"Des_ces"	"Phl_pra"	"Agr_sto"	"Cyn_cri"	"Cir_ole"	"Cre_bie"	"Cer_hol"	"Pla_med"	"Thy_pul"	"Urt_dio"	"Lol_mul"	"Cir_arv"	"Ran_bul"	"Tri_dub"	"Lot_cor"	"Car_car"	"Leo_his"	"Vic_sep"	"Med_lup"
"35"	"AEG35"	2008	1.74	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
"36"	"AEG36"	2008	1.74	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"37"	"AEG37"	2008	1.74	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0
"38"	"AEG38"	2008	1.4	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0
"39"	"AEG39"	2008	1.74	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"40"	"AEG40"	2008	2.06	1	1	0	1	1	1	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1
"41"	"AEG41"	2008	2.3	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0
"42"	"AEG42"	2008	2.42	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
"43"	"AEG43"	2008	2.13	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
"44"	"AEG44"	2008	2.06	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
"45"	"AEG45"	2008	1.4	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0
"46"	"AEG46"	2008	1.53	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"47"	"AEG47"	2008	0.58	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1
"48"	"AEG48"	2008	0.72	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0
"49"	"AEG49"	2008	1.12	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0
"50"	"AEG50"	2008	2.24	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"51"	"HEG01"	2008	2.72	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
"52"	"HEG02"	2008	2.19	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
"53"	"HEG03"	2008	2.19	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"54"	"HEG04"	2008	1.97	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"56"	"HEG06"	2008	1.88	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
"57"	"HEG07"	2008	1.64	0	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
"58"	"HEG08"	2008	1.64	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
"59"	"HEG09"	2008	0.77	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0
"60"	"HEG10"	2008	0.99	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"61"	"HEG11"	2008	0.99	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"62"	"HEG12"	2008	2.29	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
"63"	"HEG13"	2008	1.84	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"64"	"HEG14"	2008	2.68	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
"65"	"HEG15"	2008	1.79	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
"66"	"HEG16"	2008	0.96	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
"67"	"HEG17"	2008	0.63	0	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0
"68"	"HEG18"	2008	0.84	0	1	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0
"69"	"HEG19"	2008	0.63	0	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"70"	"HEG20"	2008	0.67	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
"71"	"HEG21"	2008	0.53	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1
"72"	"HEG22"	2008	1.53	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0
"73"	"HEG23"	2008	1.57	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1
"75"	"HEG25"	2008	1.81	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
"76"	"HEG26"	2008	0.99	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
